sample	AHL	fluo	IPTG	mean	median	mode
G	0	GREEN	0	562.954355049543	545.25	490.5
G	0	GREEN	0.0625	554.929833399789	534.5	510.5
G	0	GREEN	0.125	566.45189139023	544.25	497
G	0	GREEN	0.25	557.767872308424	537	494.25
G	0	GREEN	0.5	564.12909354267	540.75	494.75
G	0	GREEN	1	577.235694201273	553.5	498.25
G	0	RED	0	291.708380595523	295.5	288.25
G	0	RED	0.0625	402.594010764618	394.75	382.5
G	0	RED	0.125	420.995522733872	415	397.25
G	0	RED	0.25	439.183179110692	428.25	413.5
G	0	RED	0.5	445.375714458207	438.5	428.75
G	0	RED	1	458.273282170644	451.25	447
G	0.003125	GREEN	0	630.340889515171	619.25	592.25
G	0.003125	GREEN	0.0625	630.893195105399	615.25	585.75
G	0.003125	GREEN	0.125	628.440587000054	613.25	563.75
G	0.003125	GREEN	0.25	619.036321476665	603.25	582
G	0.003125	GREEN	0.5	558.004703857667	549.125	455.5
G	0.003125	GREEN	1	483.516526927158	456.25	371.75
G	0.003125	RED	0	286.07013651349	289.5	272.25
G	0.003125	RED	0.0625	378.14378020088	373.25	345
G	0.003125	RED	0.125	396.560624830106	391.25	370
G	0.003125	RED	0.25	412.048600610658	406.5	390.75
G	0.003125	RED	0.5	454.017326369027	450.5	446.5
G	0.003125	RED	1	506.263110783037	503	488
G	0.00625	GREEN	0	681.0840865676	672.5	640.5
G	0.00625	GREEN	0.0625	679.513289246293	669	642.25
G	0.00625	GREEN	0.125	676.304384469133	666.25	653.75
G	0.00625	GREEN	0.25	660.14713952883	649.75	590
G	0.00625	GREEN	0.5	491.384618685626	457.25	363.25
G	0.00625	GREEN	1	450.235484439543	409.5	316.25
G	0.00625	RED	0	287.015831867536	290.75	291.5
G	0.00625	RED	0.0625	371.889302246445	367.75	345.5
G	0.00625	RED	0.125	383.015116763491	378.75	358
G	0.00625	RED	0.25	397.059490778893	391.25	375.5
G	0.00625	RED	0.5	489.323472237563	489	462.5
G	0.00625	RED	1	537.983853080427	537.5	528.75
G	0.0125	GREEN	0	763.233820111719	764.5	769.25
G	0.0125	GREEN	0.0625	727.157590459333	723.75	720.25
G	0.0125	GREEN	0.125	710.255995892099	705.5	686
G	0.0125	GREEN	0.25	699.940112938446	702.25	673.75
G	0.0125	GREEN	0.5	424.243074052545	380.5	329.75
G	0.0125	GREEN	1	426.62873912361	393.375	336.25
G	0.0125	RED	0	281.782228184182	285.75	267
G	0.0125	RED	0.0625	359.293580495517	357.25	336.5
G	0.0125	RED	0.125	371.713840019602	369	346
G	0.0125	RED	0.25	402.107983218293	398.5	378.75
G	0.0125	RED	0.5	561.821277337745	555.25	535.75
G	0.0125	RED	1	586.238077532647	580.5	549.5
G	0.025	GREEN	0	786.864385424927	806.5	797.75
G	0.025	GREEN	0.0625	766.624697927203	769.25	792.25
G	0.025	GREEN	0.125	754.035830279361	762.5	785
G	0.025	GREEN	0.25	623.469192950357	644.75	505
G	0.025	GREEN	0.5	376.942281613718	353.75	306
G	0.025	GREEN	1	391.641589595992	373.5	308
G	0.025	RED	0	284.021337776799	287.75	266.5
