sample	AHL	fluo	IPTG	mean	median	mode
G	0	GREEN	0	562.954355049543	545.25	490.5
G	0	RED	0	291.708380595523	295.5	288.25
G	0.003125	GREEN	0	630.340889515171	619.25	592.25
G	0.003125	RED	0	286.07013651349	289.5	272.25
G	0.00625	GREEN	0	681.0840865676	672.5	640.5
G	0.00625	RED	0	287.015831867536	290.75	291.5
G	0.0125	GREEN	0	763.233820111719	764.5	769.25
G	0.0125	RED	0	281.782228184182	285.75	267
G	0.025	GREEN	0	786.864385424927	806.5	797.75
G	0.025	RED	0	284.021337776799	287.75	266.5
G	0.05	GREEN	0	720.857571371094	704.5	735.75
G	0.05	RED	0	286.795205779707	287	274
R	0	GREEN	0	526.928074823833	510.5	490
R	0	RED	0	290.124016608476	293.5	270
R	0.003125	GREEN	0	608.801299175972	593.5	566.5
R	0.003125	RED	0	294.412919879041	298.5	288
R	0.00625	GREEN	0	657.058528193886	644.5	591.5
R	0.00625	RED	0	293.542757048472	297.5	290.5
R	0.0125	GREEN	0	724.4442985316	716	696
R	0.0125	RED	0	292.31046483347	296	296
R	0.025	GREEN	0	819.369226960661	827.5	847.5
R	0.025	RED	0	292.54165353082	295	292.5
R	0.05	GREEN	0	868.302033271158	877	895.5
R	0.05	RED	0	298.95910506428	299.5	306.5

