AHL	IPTG	fluo	minmax	mean
0	0	GREEN	min	545.25
0	0	RED	min	295.5
0	0.0625	GREEN	min	542.333333333333
0	0.0625	RED	min	392
0	0.125	GREEN	min	544.25
0	0.125	RED	min	415
0	0.25	GREEN	min	545
0	0.25	RED	min	433.333333333333
0	0.5	GREEN	min	540.75
0	0.5	RED	min	438.5
0	1	GREEN	min	553.5
0	1	RED	min	451.25
0.003125	0	GREEN	min	619.625
0.003125	0	RED	min	289.5
0.003125	0.0625	GREEN	min	615.25
0.003125	0.0625	RED	min	373.25
0.003125	0.125	GREEN	min	613.25
0.003125	0.125	RED	min	391.25
0.003125	0.25	GREEN	min	339
0.003125	0.25	RED	min	406.5
0.003125	0.5	GREEN	min	336.75
0.003125	0.5	RED	min	443.75
0.003125	1	GREEN	min	341.5
0.003125	1	RED	min	502.5
0.00625	0	GREEN	min	672.5
0.00625	0	RED	min	290.75
0.00625	0.0625	GREEN	min	669
0.00625	0.0625	RED	min	367.75
0.00625	0.125	GREEN	min	341
0.00625	0.125	RED	min	379
0.00625	0.25	GREEN	min	337
0.00625	0.25	RED	min	391.25
0.00625	0.5	GREEN	min	340.5
0.00625	0.5	RED	min	469.25
0.00625	1	GREEN	min	349
0.00625	1	RED	min	543.5
0.0125	0	GREEN	min	764.5
0.0125	0	RED	min	286.25
0.0125	0.0625	GREEN	min	723.75
0.0125	0.0625	RED	min	357.25
0.0125	0.125	GREEN	min	341
0.0125	0.125	RED	min	369
0.0125	0.25	GREEN	min	349
0.0125	0.25	RED	min	397.5
0.0125	0.5	GREEN	min	361.5
0.0125	0.5	RED	min	544
0.0125	1	GREEN	min	376
0.0125	1	RED	min	581
0.025	0	GREEN	min	806.5
0.025	0	RED	min	287.75
0.025	0.0625	GREEN	min	355.5
0.025	0.0625	RED	min	357.75
0.025	0.125	GREEN	min	351.5
0.025	0.125	RED	min	371.25
0.025	0.25	GREEN	min	367
0.025	0.25	RED	min	394.75
0.025	0.5	GREEN	min	384.5
0.025	0.5	RED	min	552.666666666667
0.025	1	GREEN	min	411.5
0.025	1	RED	min	595
0.05	0	GREEN	min	705.25
0.05	0	RED	min	286.5
0.05	0.0625	GREEN	min	368
0.05	0.0625	RED	min	374.25
0.05	0.125	GREEN	min	387.5
0.05	0.125	RED	min	381.75
0.05	0.25	GREEN	min	403.5
0.05	0.25	RED	min	436.625
0.05	0.5	GREEN	min	415.5
0.05	0.5	RED	min	689
0.05	1	GREEN	min	419
0.05	1	RED	min	703
0	0	GREEN	max	545.25
0	0	RED	max	295.5
0	0.0625	GREEN	max	542.333333333333
0	0.0625	RED	max	392
0	0.125	GREEN	max	544.25
0	0.125	RED	max	415
0	0.25	GREEN	max	545
0	0.25	RED	max	433.333333333333
0	0.5	GREEN	max	540.75
0	0.5	RED	max	438.5
0	1	GREEN	max	553.5
0	1	RED	max	451.25
0.003125	0	GREEN	max	619.625
0.003125	0	RED	max	289.5
0.003125	0.0625	GREEN	max	615.25
0.003125	0.0625	RED	max	373.25
0.003125	0.125	GREEN	max	613.25
0.003125	0.125	RED	max	391.25
0.003125	0.25	GREEN	max	603.25
0.003125	0.25	RED	max	489.5
0.003125	0.5	GREEN	max	574.25
0.003125	0.5	RED	max	497
0.003125	1	GREEN	max	556.75
0.003125	1	RED	max	509.5
0.00625	0	GREEN	max	672.5
0.00625	0	RED	max	290.75
0.00625	0.0625	GREEN	max	669
0.00625	0.0625	RED	max	367.75
0.00625	0.125	GREEN	max	666.25
0.00625	0.125	RED	max	499.5
0.00625	0.25	GREEN	max	649.75
0.00625	0.25	RED	max	511.5
0.00625	0.5	GREEN	max	607.5
0.00625	0.5	RED	max	530
0.00625	1	GREEN	max	629.25
0.00625	1	RED	max	549.5
0.0125	0	GREEN	max	764.5
0.0125	0	RED	max	286.25
0.0125	0.0625	GREEN	max	723.75
0.0125	0.0625	RED	max	357.25
0.0125	0.125	GREEN	max	705.5
0.0125	0.125	RED	max	523
0.0125	0.25	GREEN	max	704.75
0.0125	0.25	RED	max	543.5
0.0125	0.5	GREEN	max	680.5
0.0125	0.5	RED	max	566
0.0125	1	GREEN	max	692.75
0.0125	1	RED	max	616.25
0.025	0	GREEN	max	806.5
0.025	0	RED	max	287.75
0.025	0.0625	GREEN	max	769.25
0.025	0.0625	RED	max	530.5
0.025	0.125	GREEN	max	763.75
0.025	0.125	RED	max	566
0.025	0.25	GREEN	max	731.75
0.025	0.25	RED	max	589.5
0.025	0.5	GREEN	max	620
0.025	0.5	RED	max	619
0.025	1	GREEN	max	634.666666666667
0.025	1	RED	max	644.5
0.05	0	GREEN	max	705.25
0.05	0	RED	max	286.5
0.05	0.0625	GREEN	max	805.5
0.05	0.0625	RED	max	589.5
0.05	0.125	GREEN	max	806.5
0.05	0.125	RED	max	633
0.05	0.25	GREEN	max	811
0.05	0.25	RED	max	663
0.05	0.5	GREEN	max	415.5
0.05	0.5	RED	max	689
0.05	1	GREEN	max	419
0.05	1	RED	max	703
