AHL	IPTG	fluo	minmax	mean
0	0.25	GREEN	min	545
0	0.25	RED	min	433.333333333333
0.003125	0.25	GREEN	min	339
0.003125	0.25	RED	min	406.5
0.00625	0.25	GREEN	min	337
0.00625	0.25	RED	min	391.25
0.0125	0.25	GREEN	min	349
0.0125	0.25	RED	min	397.5
0.025	0.25	GREEN	min	367
0.025	0.25	RED	min	394.75
0.05	0.25	GREEN	min	403.5
0.05	0.25	RED	min	436.625
0	0.25	GREEN	max	545
0	0.25	RED	max	433.333333333333
0.003125	0.25	GREEN	max	603.25
0.003125	0.25	RED	max	489.5
0.00625	0.25	GREEN	max	649.75
0.00625	0.25	RED	max	511.5
0.0125	0.25	GREEN	max	704.75
0.0125	0.25	RED	max	543.5
0.025	0.25	GREEN	max	731.75
0.025	0.25	RED	max	589.5
0.05	0.25	GREEN	max	811
0.05	0.25	RED	max	663
