sample	AHL	IPTG	gate	mean	sd
G	0	0	1	0.999974846564041	4.65751131790194e-05
G	0	0	2	2.5153435959352e-05	4.65751131790196e-05
G	0	0.0625	1	0.990740740740741	0.0171448166624547
G	0	0.0625	2	0.00925925925925926	0.0171448166624547
G	0	0.125	1	1	0
G	0	0.125	2	0	0
G	0	0.25	1	0.982678697415998	0.0318758066753702
G	0	0.25	2	0.0173213025840021	0.0318758066753702
G	0	0.5	1	0.999945887445887	0.000100196980494869
G	0	0.5	2	5.41125541125541e-05	0.000100196980494865
G	0	1	1	1	0
G	0	1	2	0	0
G	0.003125	0	1	0.999949080218838	5.44418177648629e-05
G	0.003125	0	2	5.09197811618639e-05	5.44418177648584e-05
G	0.003125	0.0625	1	0.999895167632517	7.93829347708654e-05
G	0.003125	0.0625	2	0.000104832367483461	7.93829347708802e-05
G	0.003125	0.125	1	0.999948186528497	9.59399067121962e-05
G	0.003125	0.125	2	5.18134715025907e-05	9.59399067121815e-05
G	0.003125	0.25	1	0.999632352245654	0.000357348115568563
G	0.003125	0.25	2	0.000367647754345836	0.000357348115568552
G	0.003125	0.5	1	0.878336324619308	0.103187411420606
G	0.003125	0.5	2	0.121663675380692	0.103187411420605
G	0.003125	1	1	0.627307520604051	0.12469810912865
G	0.003125	1	2	0.372692479395949	0.12469810912865
G	0.00625	0	1	1	0
G	0.00625	0	2	0	0
G	0.00625	0.0625	1	0.999974202868641	4.7767005457272e-05
G	0.00625	0.0625	2	2.57971313589929e-05	4.77670054572568e-05
G	0.00625	0.125	1	0.999973873968022	4.8376011065563e-05
G	0.00625	0.125	2	2.61260319782631e-05	4.83760110655529e-05
G	0.00625	0.25	1	0.998212222281779	0.00105315428799714
G	0.00625	0.25	2	0.00178777771822126	0.00105315428799713
G	0.00625	0.5	1	0.550611900463798	0.229532985584061
G	0.00625	0.5	2	0.449388099536202	0.229532985584061
G	0.00625	1	1	0.349195583664131	0.168981311785921
G	0.00625	1	2	0.650804416335869	0.16898131178592
