sample	AHL	fluo	IPTG	mean	median	mode
G	0	GREEN	0	874.123227510777	880.666666666667	883.333333333333
G	0	GREEN	0.0625	870.098531349134	876.166666666667	884.666666666667
G	0	GREEN	0.125	856.986930780566	871.333333333333	889
G	0	GREEN	0.25	622.988982081348	587.666666666667	375.666666666667
G	0	GREEN	0.5	453.550384736175	399.666666666667	349
G	0	GREEN	1	470.761726804266	407	346.666666666667
G	0	RED	0	303.969966740796	304.666666666667	301.333333333333
G	0	RED	0.0625	434.987091660264	440.333333333333	455.333333333333
G	0	RED	0.125	451.216611158921	454.666666666667	456
G	0	RED	0.25	605.983767949841	607.666666666667	497.333333333333
G	0	RED	0.5	658.102889974132	663	647.666666666667
G	0	RED	1	643.324284942674	649.666666666667	644
G	0.003125	GREEN	0	861.852222187966	869.666666666667	892.333333333333
G	0.003125	GREEN	0.0625	849.270841778293	856.666666666667	857.666666666667
G	0.003125	GREEN	0.125	844.08152530442	853	866
G	0.003125	GREEN	0.25	704.933443756402	810	856.333333333333
G	0.003125	GREEN	0.5	424.155945944256	365	349
G	0.003125	GREEN	1	407.57241248362	354.333333333333	346.666666666667
G	0.003125	RED	0	302.391952615988	304	291.666666666667
G	0.003125	RED	0.0625	415.53584922034	419.333333333333	414.666666666667
G	0.003125	RED	0.125	434.083152670215	437.666666666667	434.666666666667
G	0.003125	RED	0.25	520.268067245745	489.666666666667	469
G	0.003125	RED	0.5	619.411283934071	619.666666666667	615.666666666667
G	0.003125	RED	1	596.926465937921	592	582.333333333333
G	0.00625	GREEN	0	855.979648477937	865.333333333333	879.666666666667
G	0.00625	GREEN	0.0625	841.6919223032	849	854.333333333333
G	0.00625	GREEN	0.125	835.798653563321	845	856
G	0.00625	GREEN	0.25	709.517950815137	805.333333333333	857.666666666667
G	0.00625	GREEN	0.5	415.94796270624	356.666666666667	346.666666666667
G	0.00625	GREEN	1	390.422168215948	347	328
G	0.00625	RED	0	302.138870062927	302.666666666667	287.666666666667
G	0.00625	RED	0.0625	409.931807493824	412	406
G	0.00625	RED	0.125	425.809376828924	428.333333333333	429.333333333333
G	0.00625	RED	0.25	506.708167529442	478.333333333333	457.666666666667
G	0.00625	RED	0.5	614.483508095553	615.333333333333	605
G	0.00625	RED	1	598.281493788902	593	576.333333333333
G	0.0125	GREEN	0	853.965624691214	866	882.333333333333
G	0.0125	GREEN	0.0625	827.910454651969	842.666666666667	846.666666666667
G	0.0125	GREEN	0.125	819.593084945074	834.333333333333	846.666666666667
G	0.0125	GREEN	0.25	692.723205501279	792	853.333333333333
G	0.0125	GREEN	0.5	394.133606680221	349.333333333333	345
G	0.0125	GREEN	1	358.680411264572	334.333333333333	317.333333333333
G	0.0125	RED	0	301.145046248997	301.666666666667	287.666666666667
G	0.0125	RED	0.0625	402.166418433736	400.666666666667	379.333333333333
G	0.0125	RED	0.125	420.038288880879	419	413.333333333333
G	0.0125	RED	0.25	494.972437949275	465	442.666666666667
G	0.0125	RED	0.5	616.412193566686	616	621
G	0.0125	RED	1	610.913316837633	605	588.333333333333
G	0.025	GREEN	0	827.030668705526	867	899
G	0.025	GREEN	0.0625	807.100636303865	830.333333333333	847.666666666667
G	0.025	GREEN	0.125	809.859930473333	830	855.666666666667
G	0.025	GREEN	0.25	621.670723345743	674.333333333333	683.333333333333
G	0.025	GREEN	0.5	368.093712552707	338.666666666667	323.333333333333
G	0.025	GREEN	1	349.272576040724	334.666666666667	318
G	0.025	RED	0	316.742308543604	301.666666666667	287.333333333333
G	0.025	RED	0.0625	387.875335010548	381.666666666667	365
G	0.025	RED	0.125	403.036800248396	401.333333333333	391.333333333333
G	0.025	RED	0.25	523.925923916632	499.666666666667	452
G	0.025	RED	0.5	624.495295692778	622.333333333333	620
G	0.025	RED	1	631.404562419825	625	614
G	0.05	GREEN	0	742.103079454248	689.666666666667	691
G	0.05	GREEN	0.0625	779.294376749505	822.666666666667	648
G	0.05	GREEN	0.125	770.572890935617	815	634.333333333333
G	0.05	GREEN	0.25	560.613895742017	517.666666666667	278.333333333333
G	0.05	GREEN	0.5	332.917443801792	316.333333333333	261.333333333333
G	0.05	GREEN	1	331.546850317084	320	273.666666666667
G	0.05	RED	0	347.11104127331	360	297.333333333333
G	0.05	RED	0.0625	374.194126552465	362	345
G	0.05	RED	0.125	387.74837531195	376.333333333333	345
G	0.05	RED	0.25	510.068147150409	507	419.666666666667
G	0.05	RED	0.5	636.540983534196	633.333333333333	617.333333333333
G	0.05	RED	1	648.233152395116	643.333333333333	612
R	0	GREEN	0	849.732467132863	855.666666666667	870
R	0	GREEN	0.0625	863.149747992729	871	880
R	0	GREEN	0.125	836.580963660726	868.666666666667	887.333333333333
R	0	GREEN	0.25	635.443525142127	574.666666666667	531.333333333333
R	0	GREEN	0.5	413.06021104161	379.333333333333	345
R	0	GREEN	1	397.314496520762	368.333333333333	345
R	0	RED	0	304.057972675155	306	298.333333333333
R	0	RED	0.0625	426.07451917338	428.666666666667	413.333333333333
R	0	RED	0.125	465.981991432462	456.666666666667	445.333333333333
R	0	RED	0.25	574.757927917785	588.333333333333	602.666666666667
R	0	RED	0.5	650.485482606975	647.666666666667	640.666666666667
R	0	RED	1	634.117654745486	626.333333333333	600
R	0.003125	GREEN	0	830.437998145616	837.333333333333	840.666666666667
R	0.003125	GREEN	0.0625	829.0489412293	845.333333333333	868.333333333333
R	0.003125	GREEN	0.125	429.25804542647	356	345
R	0.003125	GREEN	0.25	409.607333424009	349	325
R	0.003125	GREEN	0.5	399.066546332617	345.666666666667	307
R	0.003125	GREEN	1	393.833812094337	346.666666666667	323.333333333333
R	0.003125	RED	0	303.458594641724	305.333333333333	302
R	0.003125	RED	0.0625	417.383049782949	412.666666666667	410.333333333333
R	0.003125	RED	0.125	574.144174558269	576.666666666667	564
R	0.003125	RED	0.25	561.352895637503	556	528.666666666667
R	0.003125	RED	0.5	568.772740744347	561	545.666666666667
R	0.003125	RED	1	578.717534801789	571.666666666667	544.333333333333
R	0.00625	GREEN	0	823.559074843306	830.666666666667	847.333333333333
R	0.00625	GREEN	0.0625	758.473160339891	822.5	870.666666666667
R	0.00625	GREEN	0.125	390.261697378654	337.333333333333	285.666666666667
R	0.00625	GREEN	0.25	363.372343332461	327.333333333333	291.333333333333
R	0.00625	GREEN	0.5	352.20087286111	323.666666666667	277.666666666667
R	0.00625	GREEN	1	360.237841359814	330.666666666667	303.333333333333
R	0.00625	RED	0	301.601620294464	302.666666666667	284.666666666667
R	0.00625	RED	0.0625	465.356478271834	429.666666666667	402
R	0.00625	RED	0.125	551.773825376911	546.666666666667	537
R	0.00625	RED	0.25	574.923266350655	568	556
R	0.00625	RED	0.5	588.449048587637	580.666666666667	572
R	0.00625	RED	1	597.672630449369	589.666666666667	589
R	0.0125	GREEN	0	822.048928984441	829.333333333333	823
R	0.0125	GREEN	0.0625	549.881108339879	570.333333333333	346.666666666667
R	0.0125	GREEN	0.125	340.604130502917	317	300
R	0.0125	GREEN	0.25	334.902909136488	317	273.666666666667
R	0.0125	GREEN	0.5	331.766574567309	315	275
R	0.0125	GREEN	1	336.390973317489	324.333333333333	295.333333333333
R	0.0125	RED	0	300.758426100275	301	283.333333333333
R	0.0125	RED	0.0625	554.202832982193	534.666666666667	477
R	0.0125	RED	0.125	583.812009354076	576.333333333333	563.333333333333
R	0.0125	RED	0.25	600.241840442081	591	571.333333333333
R	0.0125	RED	0.5	610.767184684592	601.333333333333	586.333333333333
R	0.0125	RED	1	625.206417356695	616.666666666667	596.333333333333
R	0.025	GREEN	0	823.610909219144	835	854.666666666667
R	0.025	GREEN	0.0625	394.021200370866	343.666666666667	345
R	0.025	GREEN	0.125	326.648005213103	313.333333333333	293.666666666667
R	0.025	GREEN	0.25	325.452854489254	313.333333333333	271
R	0.025	GREEN	0.5	322.515235507338	312.333333333333	274
R	0.025	GREEN	1	322.948377196196	314	270.666666666667
R	0.025	RED	0	302.053867981892	300.666666666667	289.333333333333
R	0.025	RED	0.0625	575.20061931096	571.333333333333	567.666666666667
R	0.025	RED	0.125	619.433127751681	609	577.666666666667
R	0.025	RED	0.25	627.492025858423	617.333333333333	597
R	0.025	RED	0.5	636.226057704721	626.666666666667	605.333333333333
R	0.025	RED	1	646.842980767168	638.333333333333	626
R	0.05	GREEN	0	804.256825970692	831.333333333333	847.666666666667
R	0.05	GREEN	0.0625	336.645672851753	320.666666666667	280
R	0.05	GREEN	0.125	314.91255597895	305	264.333333333333
R	0.05	GREEN	0.25	306.952728201883	298	265
R	0.05	GREEN	0.5	305.40877172103	297.333333333333	262.666666666667
R	0.05	GREEN	1	308.490499955023	301.666666666667	265
R	0.05	RED	0	327.254818431363	309	289.666666666667
R	0.05	RED	0.0625	622.888128063827	614.333333333333	574.666666666667
R	0.05	RED	0.125	650.314502041256	641	608.333333333333
