AHL	IPTG	fluo	minmax	mean
0	0	GREEN	min	880.666666666667
0	0	RED	min	304.666666666667
0	0.0625	GREEN	min	876.333333333333
0	0.0625	RED	min	440
0	0.125	GREEN	min	416.166666666667
0	0.125	RED	min	453
0	0.25	GREEN	min	384.5
0	0.25	RED	min	486.333333333333
0	0.5	GREEN	min	371.666666666667
0	0.5	RED	min	525.666666666667
0	1	GREEN	min	362.5
0	1	RED	min	539
0.003125	0	GREEN	min	869.666666666667
0.003125	0	RED	min	304
0.003125	0.0625	GREEN	min	377.25
0.003125	0.0625	RED	min	419
0.003125	0.125	GREEN	min	334
0.003125	0.125	RED	min	437
0.003125	0.25	GREEN	min	319.666666666667
0.003125	0.25	RED	min	459.666666666667
0.003125	0.5	GREEN	min	320.333333333333
0.003125	0.5	RED	min	511.333333333333
0.003125	1	GREEN	min	327.666666666667
0.003125	1	RED	min	563
0.00625	0	GREEN	min	865.666666666667
0.00625	0	RED	min	302.666666666667
0.00625	0.0625	GREEN	min	380.666666666667
0.00625	0.0625	RED	min	412
0.00625	0.125	GREEN	min	315.666666666667
0.00625	0.125	RED	min	427.333333333333
0.00625	0.25	GREEN	min	317.666666666667
0.00625	0.25	RED	min	453
0.00625	0.5	GREEN	min	318.333333333333
0.00625	0.5	RED	min	500
0.00625	1	GREEN	min	325.666666666667
0.00625	1	RED	min	580.333333333333
0.0125	0	GREEN	min	866.666666666667
0.0125	0	RED	min	301.333333333333
0.0125	0.0625	GREEN	min	361.833333333333
0.0125	0.0625	RED	min	399
0.0125	0.125	GREEN	min	312.333333333333
0.0125	0.125	RED	min	417.666666666667
0.0125	0.25	GREEN	min	315
0.0125	0.25	RED	min	437
0.0125	0.5	GREEN	min	314.333333333333
0.0125	0.5	RED	min	490.666666666667
0.0125	1	GREEN	min	323.333333333333
0.0125	1	RED	min	610.166666666667
0.025	0	GREEN	min	285.5
0.025	0	RED	min	297.666666666667
0.025	0.0625	GREEN	min	329.666666666667
0.025	0.0625	RED	min	377.666666666667
0.025	0.125	GREEN	min	312.333333333333
0.025	0.125	RED	min	398.833333333333
0.025	0.25	GREEN	min	312.666666666667
0.025	0.25	RED	min	434
0.025	0.5	GREEN	min	312
0.025	0.5	RED	min	485
0.025	1	GREEN	min	313.666666666667
0.025	1	RED	min	623.5
0.05	0	GREEN	min	370.75
0.05	0	RED	min	301
0.05	0.0625	GREEN	min	319
0.05	0.0625	RED	min	352
0.05	0.125	GREEN	min	304.666666666667
0.05	0.125	RED	min	366.666666666667
0.05	0.25	GREEN	min	297.666666666667
0.05	0.25	RED	min	405.666666666667
0.05	0.5	GREEN	min	297.333333333333
0.05	0.5	RED	min	470.5
0.05	1	GREEN	min	301.666666666667
0.05	1	RED	min	658.333333333333
0	0	GREEN	max	880.666666666667
0	0	RED	max	304.666666666667
0	0.0625	GREEN	max	876.333333333333
0	0.0625	RED	max	440
0	0.125	GREEN	max	872.333333333333
0	0.125	RED	max	733.333333333333
0	0.25	GREEN	max	865
0	0.25	RED	max	699
0	0.5	GREEN	max	824
0	0.5	RED	max	656.666666666667
0	1	GREEN	max	811.666666666667
0	1	RED	max	630.666666666667
0.003125	0	GREEN	max	869.666666666667
0.003125	0	RED	max	304
0.003125	0.0625	GREEN	max	857
0.003125	0.0625	RED	max	745.25
0.003125	0.125	GREEN	max	853
0.003125	0.125	RED	max	604.666666666667
0.003125	0.25	GREEN	max	847
0.003125	0.25	RED	max	572.666666666667
0.003125	0.5	GREEN	max	804.833333333333
0.003125	0.5	RED	max	572.666666666667
0.003125	1	GREEN	max	699.5
0.003125	1	RED	max	579
0.00625	0	GREEN	max	865.666666666667
0.00625	0	RED	max	302.666666666667
0.00625	0.0625	GREEN	max	849
0.00625	0.0625	RED	max	739
0.00625	0.125	GREEN	max	845.666666666667
0.00625	0.125	RED	max	560.666666666667
0.00625	0.25	GREEN	max	838.666666666667
0.00625	0.25	RED	max	570.333333333333
0.00625	0.5	GREEN	max	797
0.00625	0.5	RED	max	580
0.00625	1	GREEN	max	696.333333333333
0.00625	1	RED	max	589
0.0125	0	GREEN	max	866.666666666667
0.0125	0	RED	max	301.333333333333
0.0125	0.0625	GREEN	max	844
0.0125	0.0625	RED	max	661.333333333333
0.0125	0.125	GREEN	max	836.666666666667
0.0125	0.125	RED	max	576.666666666667
0.0125	0.25	GREEN	max	829.666666666667
0.0125	0.25	RED	max	590.333333333333
0.0125	0.5	GREEN	max	795.833333333333
0.0125	0.5	RED	max	600
0.0125	1	GREEN	max	723
0.0125	1	RED	max	616
0.025	0	GREEN	max	875.333333333333
0.025	0	RED	max	679.5
0.025	0.0625	GREEN	max	835
0.025	0.0625	RED	max	589
0.025	0.125	GREEN	max	832.666666666667
0.025	0.125	RED	max	609
0.025	0.25	GREEN	max	831
0.025	0.25	RED	max	616.666666666667
0.025	0.5	GREEN	max	790.333333333333
0.025	0.5	RED	max	626.666666666667
0.025	1	GREEN	max	735
0.025	1	RED	max	637.666666666667
0.05	0	GREEN	max	870.666666666667
0.05	0	RED	max	661.25
0.05	0.0625	GREEN	max	836.666666666667
0.05	0.0625	RED	max	616.666666666667
0.05	0.125	GREEN	max	828.333333333333
0.05	0.125	RED	max	641
0.05	0.25	GREEN	max	824.333333333333
0.05	0.25	RED	max	649
0.05	0.5	GREEN	max	808
0.05	0.5	RED	max	651.333333333333
0.05	1	GREEN	max	301.666666666667
0.05	1	RED	max	658.333333333333
