sample	AHL	IPTG	gate	mean	sd
G	0	0	1	0.997008212972049	0.004200067287711
G	0	0	2	0.00299178702795073	0.00420006728771099
G	0	0.0625	1	0.998046183818874	0.00232989137315197
G	0	0.0625	2	0.0019538161811263	0.00232989137315198
G	0	0.125	1	0.978444845617988	0.011677776566054
G	0	0.125	2	0.021555154382012	0.011677776566054
G	0	0.25	1	0.479410499839467	0.0674862906975525
G	0	0.25	2	0.520589500160533	0.0674862906975525
G	0	0.5	1	0.158923514090085	0.0306997186401468
G	0	0.5	2	0.841076485909915	0.0306997186401468
G	0	1	1	0.194108459677229	0.0861872062492256
G	0	1	2	0.805891540322771	0.0861872062492256
G	0.003125	0	1	0.999295749523586	0.000901084284893132
G	0.003125	0	2	0.000704250476413675	0.000901084284893119
G	0.003125	0.0625	1	0.99689321713099	0.00472281654016818
G	0.003125	0.0625	2	0.0031067828690098	0.0047228165401682
G	0.003125	0.125	1	0.99401827431604	0.00155865473003143
G	0.003125	0.125	2	0.00598172568396038	0.00155865473003146
G	0.003125	0.25	1	0.7002231066944	0.00336898634369525
G	0.003125	0.25	2	0.2997768933056	0.00336898634369526
G	0.003125	0.5	1	0.158157667184669	0.0139481189271853
G	0.003125	0.5	2	0.841842332815331	0.0139481189271853
G	0.003125	1	1	0.184380240163726	0.0398613304971626
G	0.003125	1	2	0.815619759836274	0.0398613304971626
G	0.00625	0	1	0.996652874854185	0.00499537605269948
G	0.00625	0	2	0.00334712514581484	0.0049953760526995
G	0.00625	0.0625	1	0.998187154791194	0.00246502084639119
G	0.00625	0.0625	2	0.00181284520880558	0.00246502084639123
G	0.00625	0.125	1	0.991649251720066	0.00684372107995178
G	0.00625	0.125	2	0.00835074827993437	0.0068437210799518
G	0.00625	0.25	1	0.725211188704127	0.0414658648720583
G	0.00625	0.25	2	0.274788811295873	0.0414658648720582
G	0.00625	0.5	1	0.152067195635268	0.000905616016080436
G	0.00625	0.5	2	0.847932804364732	0.000905616016080423
G	0.00625	1	1	0.140677618131278	0.0303417214562448
G	0.00625	1	2	0.859322381868722	0.0303417214562448
G	0.0125	0	1	0.993615774757232	0.00971105532263833
G	0.0125	0	2	0.0063842252427681	0.00971105532263832
G	0.0125	0.0625	1	0.97966429867998	0.0234972946482992
G	0.0125	0.0625	2	0.0203357013200203	0.0234972946482992
G	0.0125	0.125	1	0.978967374344997	0.020588625628039
G	0.0125	0.125	2	0.0210326256550033	0.020588625628039
G	0.0125	0.25	1	0.710206520417258	0.018832256463926
G	0.0125	0.25	2	0.289793479582742	0.018832256463926
G	0.0125	0.5	1	0.109432589159524	0.0133955268625799
G	0.0125	0.5	2	0.890567410840476	0.0133955268625799
G	0.0125	1	1	0.0519191540511695	0.0114350892880955
G	0.0125	1	2	0.94808084594883	0.0114350892880955
G	0.025	0	1	0.930601512038563	0.106821138571652
G	0.025	0	2	0.069398487961437	0.106821138571652
G	0.025	0.0625	1	0.957061996092648	0.0654368165815956
G	0.025	0.0625	2	0.0429380039073518	0.0654368165815956
G	0.025	0.125	1	0.968252575736765	0.0384459277439897
G	0.025	0.125	2	0.0317474242632354	0.0384459277439897
G	0.025	0.25	1	0.567054153791501	0.0641413126661142
G	0.025	0.25	2	0.432945846208499	0.0641413126661142
G	0.025	0.5	1	0.0612449724178366	0.0114971837645797
G	0.025	0.5	2	0.938755027582163	0.0114971837645797
G	0.025	1	1	0.0175870917751403	0.0046861883144826
G	0.025	1	2	0.98241290822486	0.00468618831448264
G	0.05	0	1	0.79337638699222	0.318721805904718
G	0.05	0	2	0.20662361300778	0.318721805904718
G	0.05	0.0625	1	0.898506892250617	0.156115355914224
G	0.05	0.0625	2	0.101493107749383	0.156115355914224
G	0.05	0.125	1	0.897476474730771	0.142140333630044
G	0.05	0.125	2	0.102523525269229	0.142140333630044
G	0.05	0.25	1	0.481374075002939	0.0733133678668101
G	0.05	0.25	2	0.518625924997061	0.0733133678668101
G	0.05	0.5	1	0.0241667616631479	0.00450192483080245
G	0.05	0.5	2	0.975833238336852	0.00450192483080244
G	0.05	1	1	0.00872628300406316	0.00829674226501188
G	0.05	1	2	0.991273716995937	0.00829674226501187
R	0	0	1	0.999000953630054	0.00146705272249045
R	0	0	2	0.000999046369946134	0.00146705272249046
R	0	0.0625	1	0.99440665498915	0.0068431215456645
R	0	0.0625	2	0.00559334501084958	0.00684312154566449
R	0	0.125	1	0.930799895875326	0.0217551421843537
R	0	0.125	2	0.0692001041246736	0.0217551421843537
R	0	0.25	1	0.518704439590903	0.353394414904978
R	0	0.25	2	0.481295560409097	0.353394414904978
R	0	0.5	1	0.0883214708756231	0.0184873204939974
R	0	0.5	2	0.911678529124377	0.0184873204939974
R	0	1	1	0.0697244398119173	0.015826666667595
R	0	1	2	0.930275560188083	0.015826666667595
R	0.003125	0	1	0.998238772914778	0.00255919391529574
R	0.003125	0	2	0.00176122708522159	0.00255919391529572
R	0.003125	0.0625	1	0.969992719450958	0.0211570762883588
R	0.003125	0.0625	2	0.0300072805490416	0.0211570762883588
R	0.003125	0.125	1	0.235512671636115	0.0686804859519468
R	0.003125	0.125	2	0.764487328363885	0.0686804859519468
R	0.003125	0.25	1	0.279104465480791	0.0993176692682091
R	0.003125	0.25	2	0.720895534519209	0.0993176692682091
R	0.003125	0.5	1	0.251380596058381	0.106255139750577
R	0.003125	0.5	2	0.748619403941619	0.106255139750577
R	0.003125	1	1	0.207553725828994	0.10101430296298
R	0.003125	1	2	0.792446274171006	0.10101430296298
R	0.00625	0	1	0.997435462180174	0.00346682126141584
R	0.00625	0	2	0.00256453781982587	0.00346682126141586
R	0.00625	0.0625	1	0.828623936327004	0.121332038106302
R	0.00625	0.0625	2	0.171376063672996	0.121332038106302
R	0.00625	0.125	1	0.237510002670723	0.104212009223922
R	0.00625	0.125	2	0.762489997329277	0.104212009223922
R	0.00625	0.25	1	0.129901228600316	0.0599047122003571
R	0.00625	0.25	2	0.870098771399684	0.0599047122003571
R	0.00625	0.5	1	0.0807353063644511	0.0308306888738634
R	0.00625	0.5	2	0.919264693635549	0.0308306888738633
R	0.00625	1	1	0.0772266002106692	0.0295740771267646
R	0.00625	1	2	0.922773399789331	0.0295740771267646
R	0.0125	0	1	0.995240320925506	0.00314296508572014
R	0.0125	0	2	0.00475967907449449	0.00314296508572014
R	0.0125	0.0625	1	0.429559917701122	0.15716208860701
R	0.0125	0.0625	2	0.570440082298878	0.15716208860701
R	0.0125	0.125	1	0.0589905037956849	0.0268307534772596
R	0.0125	0.125	2	0.941009496204315	0.0268307534772596
R	0.0125	0.25	1	0.0313729358827232	0.0127730774753334
R	0.0125	0.25	2	0.968627064117277	0.0127730774753334
R	0.0125	0.5	1	0.0219627820970403	0.0100084061776798
R	0.0125	0.5	2	0.97803721790296	0.0100084061776798
R	0.0125	1	1	0.0143741962286409	0.00965729035669447
R	0.0125	1	2	0.985625803771359	0.00965729035669447
R	0.025	0	1	0.989084921689104	0.00994156793568186
R	0.025	0	2	0.0109150783108962	0.00994156793568187
R	0.025	0.0625	1	0.164414870798865	0.0985692219657079
R	0.025	0.0625	2	0.835585129201135	0.098569221965708
R	0.025	0.125	1	0.0115274132789307	0.00487100887501162
R	0.025	0.125	2	0.988472586721069	0.00487100887501162
R	0.025	0.25	1	0.00879350777434934	0.00209997286208213
R	0.025	0.25	2	0.991206492225651	0.0020999728620821
R	0.025	0.5	1	0.00389846959920162	0.00175262540286432
R	0.025	0.5	2	0.996101530400798	0.00175262540286432
R	0.025	1	1	0.00254658960302512	0.000943387204267558
R	0.025	1	2	0.997453410396975	0.000943387204267572
